Class,Se,Sp,PPV,F1,TP,FP,FN,TN,Model
N,0.9393474278358172,0.92578125,0.987148134658411,0.9626547594885326,18972,247,1225,3081,CNN (baseline)
S,0.3087885985748218,0.9685768698060941,0.15186915887850466,0.20360219263899765,130,726,291,22378,CNN (baseline)
V,0.9638865004299226,0.9802343260889008,0.7172104926423545,0.822450476889215,1121,442,42,21920,CNN (baseline)
F,0.8642857142857143,0.9985460765447937,0.7806451612903226,0.8203389830508474,121,34,19,23351,CNN (baseline)
Q,0.9956359102244389,0.9938415218283837,0.9220554272517321,0.9574340527577937,1597,135,7,21786,CNN (baseline)
N,0.6929246917859088,0.9663461538461539,0.9920606790954846,0.8159398320895522,13995,112,6202,3216,BiLSTM (baseline)
S,0.5558194774346793,0.8672524238227147,0.07088760981520752,0.12573885008060184,234,3067,187,20037,BiLSTM (baseline)
V,0.945829750644884,0.9009033181289687,0.33172496984318456,0.4911810672025005,1100,2216,63,20146,BiLSTM (baseline)
F,0.8857142857142857,0.9736583279880265,0.16756756756756758,0.2818181818181818,124,616,16,22769,BiLSTM (baseline)
Q,0.9894014962593516,0.978376898864103,0.7700145560407569,0.8660300136425647,1587,474,17,21447,BiLSTM (baseline)
N,0.8155666683170768,0.9362980769230769,0.9872932150563414,0.8932512675903581,16472,212,3725,3116,MS-CNN-BiLSTM-DualAttn (proposed)
S,0.32779097387173395,0.9697887811634349,0.16507177033492823,0.2195704057279236,138,698,283,22406,MS-CNN-BiLSTM-DualAttn (proposed)
V,0.9475494411006019,0.9208031481978356,0.38357117995127044,0.5460852329038651,1102,1771,61,20591,MS-CNN-BiLSTM-DualAttn (proposed)
F,0.9214285714285714,0.9899508231772504,0.3543956043956044,0.511904761904762,129,235,11,23150,MS-CNN-BiLSTM-DualAttn (proposed)
Q,0.9943890274314214,0.9464896674421788,0.576228323699422,0.7296431838975298,1595,1173,9,20748,MS-CNN-BiLSTM-DualAttn (proposed)
