Class,Se,Sp,PPV,F1,TP,FP,FN,TN,Strategy
N,0.9393474278358172,0.92578125,0.987148134658411,0.9626547594885326,18972,247,1225,3081,CNN
S,0.3087885985748218,0.9685768698060941,0.15186915887850466,0.20360219263899765,130,726,291,22378,CNN
V,0.9638865004299226,0.9802343260889008,0.7172104926423545,0.822450476889215,1121,442,42,21920,CNN
F,0.8642857142857143,0.9985460765447937,0.7806451612903226,0.8203389830508474,121,34,19,23351,CNN
Q,0.9956359102244389,0.9938415218283837,0.9220554272517321,0.9574340527577937,1597,135,7,21786,CNN
N,0.6929246917859088,0.9663461538461539,0.9920606790954846,0.8159398320895522,13995,112,6202,3216,BiLSTM
S,0.5558194774346793,0.8672524238227147,0.07088760981520752,0.12573885008060184,234,3067,187,20037,BiLSTM
V,0.945829750644884,0.9009033181289687,0.33172496984318456,0.4911810672025005,1100,2216,63,20146,BiLSTM
F,0.8857142857142857,0.9736583279880265,0.16756756756756758,0.2818181818181818,124,616,16,22769,BiLSTM
Q,0.9894014962593516,0.978376898864103,0.7700145560407569,0.8660300136425647,1587,474,17,21447,BiLSTM
N,0.8155666683170768,0.9362980769230769,0.9872932150563414,0.8932512675903581,16472,212,3725,3116,CNN-BiLSTM
S,0.32779097387173395,0.9697887811634349,0.16507177033492823,0.2195704057279236,138,698,283,22406,CNN-BiLSTM
V,0.9475494411006019,0.9208031481978356,0.38357117995127044,0.5460852329038651,1102,1771,61,20591,CNN-BiLSTM
F,0.9214285714285714,0.9899508231772504,0.3543956043956044,0.511904761904762,129,235,11,23150,CNN-BiLSTM
Q,0.9943890274314214,0.9464896674421788,0.576228323699422,0.7296431838975298,1595,1173,9,20748,CNN-BiLSTM
N,0.8781997326335594,0.9381009615384616,0.9885191996879006,0.9300996329313057,17737,206,2460,3122,Soft-Voting
S,0.3681710213776722,0.9827302631578947,0.27978339350180503,0.31794871794871793,155,399,266,22705,Soft-Voting
V,0.9595872742906277,0.9254538950004472,0.40100610851598995,0.5656360871768881,1116,1667,47,20695,Soft-Voting
F,0.9142857142857143,0.9972204404532821,0.6632124352331606,0.7687687687687688,128,65,12,23320,Soft-Voting
Q,0.9943890274314214,0.9791524109301583,0.7772904483430799,0.8725382932166302,1595,457,9,21464,Soft-Voting
N,0.9429123137099569,0.9296875,0.9878618113912232,0.9648638378720709,19044,234,1153,3094,Weighted Voting
S,0.32066508313539194,0.9809989612188366,0.23519163763066203,0.271356783919598,135,439,286,22665,Weighted Voting
V,0.9664660361134996,0.9695912709060013,0.623059866962306,0.7576676777890126,1124,680,39,21682,Weighted Voting
F,0.8857142857142857,0.9985460765447937,0.7848101265822784,0.8322147651006712,124,34,16,23351,Weighted Voting
Q,0.9950124688279302,0.9947538889649195,0.9327878433664524,0.96289592760181,1596,115,8,21806,Weighted Voting
N,0.9492498885973164,0.9212740384615384,0.9865184727796645,0.9675254220181172,19172,262,1025,3066,Stacking
S,0.2921615201900237,0.98913608033241,0.32887700534759357,0.30943396226415093,123,251,298,22853,Stacking
V,0.9638865004299226,0.9782219837223862,0.697139303482587,0.8090941898231686,1121,487,42,21875,Stacking
F,0.8642857142857143,0.9985888389993586,0.7857142857142857,0.8231292517006803,121,33,19,23352,Stacking
Q,0.9943890274314214,0.9835773915423567,0.8158567774936062,0.8963191907839281,1595,360,9,21561,Stacking
